Protein.IDs	experiment	percentage.significant
O14975-2;O14975	Columbia_NCBP3_10	67
O43390;O43390-2;O43390-3;O43390-4	Columbia_NCBP3_10	62
O43395;O43395-3	Columbia_NCBP3_10	67
O75152	Columbia_NCBP3_10	67
P0DN76;Q01081;Q01081-2;Q8WU68-3;Q8WU68;Q01081-3;Q01081-4;Q8WU68-2	Columbia_NCBP3_10	70
P55081;Q00653-3;Q00653-4;Q00653	Columbia_NCBP3_10	73
P61326;P61326-2	Columbia_NCBP3_10	90
P84090	Columbia_NCBP3_10	82
Q02878	Columbia_NCBP3_10	72
Q06323-3;Q06323;Q06323-2	Columbia_NCBP3_10	65
Q06787-8;Q06787-5;Q06787-9;Q06787-3;Q06787;Q06787-6;Q06787-2;Q06787-4;Q06787-7;Q06787-11;Q06787-10	Columbia_NCBP3_10	67
Q07020;Q07020-2	Columbia_NCBP3_10	67
Q12874	Columbia_NCBP3_10	67
Q16629-3;Q16629-2;Q16629-4;Q16629	Columbia_NCBP3_10	76
Q1KMD3	Columbia_NCBP3_10	76
Q53F19;Q53F19-2	Columbia_NCBP3_10	100
Q5JVF3-3;Q5JVF3-2;Q5JVF3;Q5JVF3-4	Columbia_NCBP3_10	72
Q6PJT7-5;Q6PJT7;Q6PJT7-10;Q6PJT7-4;Q6PJT7-8	Columbia_NCBP3_10	83
Q6PKG0;Q6PKG0-3;Q659C4-7;Q659C4-6;Q659C4-5;Q659C4-2;Q659C4;Q659C4-9	Columbia_NCBP3_10	74
Q86U42-2;Q86U42;Q92843-2;A6NDY0-2;A6NDY0;A6NDY0-4	Columbia_NCBP3_10	78
Q86UY5;Q86UY5-2;Q86UY5-3	Columbia_NCBP3_10	72
Q92540-2;Q92540;Q92540-5;Q92540-4	Columbia_NCBP3_10	71
Q92567;Q92567-2;Q92567-3	Columbia_NCBP3_10	69
Q92615	Columbia_NCBP3_10	65
Q9BVJ6-3;Q9BVJ6;Q9BVJ6-2;Q5TAP6	Columbia_NCBP3_10	65
Q9BZJ0-2;Q9BZJ0-3;Q9BZJ0	Columbia_NCBP3_10	70
Q9H0A0;Q9H0A0-2	Columbia_NCBP3_10	63
Q9UKM9-2;Q9UKM9	Columbia_NCBP3_10	65
Q9UKV3-5;Q9UKV3;Q9UKV3-3;Q9UKV3-2	Columbia_NCBP3_10	77
Q9Y2W1	Columbia_NCBP3_10	98
Q9Y520-3;Q9Y520-6;Q9Y520-4;Q9Y520-5;Q9Y520;Q9Y520-7;Q9Y520-2	Columbia_NCBP3_10	62
Q9Y5S9;Q9Y5S9-2	Columbia_NCBP3_10	87
O00425;O00425-2;Q9Y6M1-5;Q9Y6M1-6;Q9Y6M1-3;Q9Y6M1-4;Q9Y6M1-1;Q9Y6M1	Columbia_NCBP3_12	72
O43290	Columbia_NCBP3_12	90
O43390;O43390-2;O43390-3;O43390-4	Columbia_NCBP3_12	100
O43395;O43395-3	Columbia_NCBP3_12	86
O60306	Columbia_NCBP3_12	92
O75152	Columbia_NCBP3_12	97
O75643;O75643-2	Columbia_NCBP3_12	100
O94906;O94906-2	Columbia_NCBP3_12	88
P07910-2;P07910;P07910-4;P07910-3;P0DMR1;O60812;B7ZW38;B2RXH8;Q86SE5;Q86SE5-3	Columbia_NCBP3_12	100
P08579	Columbia_NCBP3_12	90
P09661	Columbia_NCBP3_12	82
P11940;P11940-2;Q9H361;Q4VXU2;Q4VXU2-2;Q96DU9-2;Q96DU9	Columbia_NCBP3_12	100
P18583-7;P18583;P18583-5;P18583-9;P18583-2;P18583-10;P18583-3;P18583-4;P18583-6;P18583-8	Columbia_NCBP3_12	88
P21127;Q9UQ88-4;Q9UQ88;P21127-2;P21127-3;Q9UQ88-2;Q9UQ88-3;P21127-8;P21127-9;P21127-6;Q9UQ88-5;P21127-10;P21127-5;P21127-4;Q9UQ88-10;P21127-12;Q9UQ88-9;Q9UQ88-8	Columbia_NCBP3_12	87
P31943	Columbia_NCBP3_12	65
P38159;P38159-2;Q96E39;P38159-3;O75526;Q8N7X1	Columbia_NCBP3_12	100
P38919	Columbia_NCBP3_12	100
P43243;P43243-2	Columbia_NCBP3_12	100
P50991;P50991-2	Columbia_NCBP3_12	83
P52298;P52298-3	Columbia_NCBP3_12	88
P52597	Columbia_NCBP3_12	100
P61326;P61326-2	Columbia_NCBP3_12	96
P62995;P62995-3;P62995-2	Columbia_NCBP3_12	85
P67809;Q9Y2T7	Columbia_NCBP3_12	97
P82979	Columbia_NCBP3_12	85
P84090	Columbia_NCBP3_12	94
P98175-2;P98175;P98175-5;P98175-4;P98175-3	Columbia_NCBP3_12	83
Q00839;Q00839-2	Columbia_NCBP3_12	100
Q07955;Q07955-3;Q07955-2	Columbia_NCBP3_12	100
Q09161	Columbia_NCBP3_12	96
Q10570	Columbia_NCBP3_12	84
Q12905	Columbia_NCBP3_12	93
Q12906-7;Q12906;Q12906-4;Q12906-6;Q12906-5;Q12906-2;Q12906-3	Columbia_NCBP3_12	100
Q13242	Columbia_NCBP3_12	82
Q13247;Q13247-3;Q13247-2	Columbia_NCBP3_12	95
Q13310-3;Q13310-2;Q13310;P0CB38	Columbia_NCBP3_12	100
Q13427-2;Q13427	Columbia_NCBP3_12	85
Q13573	Columbia_NCBP3_12	92
Q13595;Q13595-4;Q13595-3;Q13595-2	Columbia_NCBP3_12	76
Q13769	Columbia_NCBP3_12	97
Q13838;Q13838-2	Columbia_NCBP3_12	98
Q14684;Q14684-2	Columbia_NCBP3_12	86
Q15029-2;Q15029;Q15029-3	Columbia_NCBP3_12	100
Q1KMD3	Columbia_NCBP3_12	87
Q2TAY7;Q2TAY7-2	Columbia_NCBP3_12	94
Q53F19;Q53F19-2	Columbia_NCBP3_12	100
Q5BKZ1;Q5BKZ1-2;Q5BKZ1-3	Columbia_NCBP3_12	81
Q5JVF3-3;Q5JVF3-2;Q5JVF3;Q5JVF3-4	Columbia_NCBP3_12	91
Q6I9Y2	Columbia_NCBP3_12	92
Q6P2Q9	Columbia_NCBP3_12	100
Q6PJT7-5;Q6PJT7;Q6PJT7-10;Q6PJT7-4;Q6PJT7-8	Columbia_NCBP3_12	96
Q71RC2-3;Q71RC2;Q71RC2-4;Q71RC2-5;Q71RC2-2;Q71RC2-6;Q71RC2-7	Columbia_NCBP3_12	86
Q86U42-2;Q86U42;Q92843-2;A6NDY0-2;A6NDY0;A6NDY0-4	Columbia_NCBP3_12	95
Q86V81	Columbia_NCBP3_12	100
Q86W42;Q86W42-2;Q86W42-3	Columbia_NCBP3_12	96
Q8IX01-4;Q8IX01-3;Q8IX01	Columbia_NCBP3_12	88
Q8NAV1	Columbia_NCBP3_12	84
Q8NI27;Q8NI27-2	Columbia_NCBP3_12	100
Q8WWM7;Q8WWM7-6;Q8WWM7-8;Q8WWM7-5;Q8WWM7-4;Q8WWM7-9;Q8WWM7-2;Q8WWM7-3;Q8WWM7-7	Columbia_NCBP3_12	93
Q92900-2;Q92900	Columbia_NCBP3_12	100
Q96DI7;Q96DI7-2	Columbia_NCBP3_12	87
Q96FV9;Q96FV9-2	Columbia_NCBP3_12	97
Q96HS1;Q96HS1-2	Columbia_NCBP3_12	77
Q96J01-2;Q96J01	Columbia_NCBP3_12	90
Q96KR1	Columbia_NCBP3_12	92
Q96PV6;Q96PV6-1;Q96PV6-3	Columbia_NCBP3_12	85
Q96T37-4;Q96T37-2;Q96T37-3;Q96T37	Columbia_NCBP3_12	86
Q99459	Columbia_NCBP3_12	87
Q9BUQ8	Columbia_NCBP3_12	88
Q9BXP5-4;Q9BXP5-2;Q9BXP5-3;Q9BXP5;Q9BXP5-5	Columbia_NCBP3_12	96
Q9BY77;Q9BY77-2	Columbia_NCBP3_12	95
Q9BZJ0-2;Q9BZJ0-3;Q9BZJ0	Columbia_NCBP3_12	84
Q9BZZ5-2;Q9BZZ5-5	Columbia_NCBP3_12	76
Q9H307	Columbia_NCBP3_12	97
Q9H6R4-4;Q9H6R4;Q9H6R4-2;Q9H6R4-3	Columbia_NCBP3_12	78
Q9HCS7	Columbia_NCBP3_12	95
Q9NW64-2;Q9NW64	Columbia_NCBP3_12	79
Q9NYF8-2;Q9NYF8;Q9NYF8-3;Q9NYF8-4	Columbia_NCBP3_12	96
Q9NZB2;Q9NZB2-6;Q9NZB2-4;Q9NZB2-5;Q9NZB2-2;Q5T035	Columbia_NCBP3_12	99
Q9UKM9-2;Q9UKM9	Columbia_NCBP3_12	83
Q9UMS4	Columbia_NCBP3_12	92
Q9UQ35;Q9UQ35-2;Q9UQ35-3	Columbia_NCBP3_12	96
Q9Y2W1	Columbia_NCBP3_12	100
Q9Y3Y2-4;Q9Y3Y2;Q9Y3Y2-3	Columbia_NCBP3_12	90
Q9Y5S9;Q9Y5S9-2	Columbia_NCBP3_12	97
O00422	Columbia_NCBP3_18	78
O00505	Columbia_NCBP3_18	74
O00629	Columbia_NCBP3_18	73
O15042;O15042-2;O15042-3	Columbia_NCBP3_18	87
O43172-2;O43172	Columbia_NCBP3_18	63
O43390;O43390-2;O43390-3;O43390-4	Columbia_NCBP3_18	72
O43395;O43395-3	Columbia_NCBP3_18	70
O43684-2;O43684	Columbia_NCBP3_18	68
O43896	Columbia_NCBP3_18	71
O60231	Columbia_NCBP3_18	70
O60306	Columbia_NCBP3_18	74
O75152	Columbia_NCBP3_18	80
O75494-5;O75494-4;O75494-6;O75494-3;O75494-2;O75494;Q8WXF0	Columbia_NCBP3_18	67
O95391	Columbia_NCBP3_18	61
P08621-2;P08621;P08621-3;P08621-4	Columbia_NCBP3_18	84
P11940;P11940-2;Q9H361;Q4VXU2;Q4VXU2-2;Q96DU9-2;Q96DU9	Columbia_NCBP3_18	62
P16989;P16989-2;P16989-3	Columbia_NCBP3_18	75
P18583-7;P18583;P18583-5;P18583-9;P18583-2;P18583-10;P18583-3;P18583-4;P18583-6;P18583-8	Columbia_NCBP3_18	78
P21127;Q9UQ88-4;Q9UQ88;P21127-2;P21127-3;Q9UQ88-2;Q9UQ88-3;P21127-8;P21127-9;P21127-6;Q9UQ88-5;P21127-10;P21127-5;P21127-4;Q9UQ88-10;P21127-12;Q9UQ88-9;Q9UQ88-8	Columbia_NCBP3_18	73
P39019	Columbia_NCBP3_18	77
P46783;Q9NQ39	Columbia_NCBP3_18	75
P55884;P55884-2	Columbia_NCBP3_18	72
P57678	Columbia_NCBP3_18	65
P60866;P60866-2	Columbia_NCBP3_18	75
P61326;P61326-2	Columbia_NCBP3_18	86
P62263	Columbia_NCBP3_18	80
P84090	Columbia_NCBP3_18	79
P84103-2;P84103	Columbia_NCBP3_18	79
Q09161	Columbia_NCBP3_18	88
Q10570	Columbia_NCBP3_18	67
Q12905	Columbia_NCBP3_18	77
Q13123	Columbia_NCBP3_18	77
Q13243;Q13243-3;Q13243-2	Columbia_NCBP3_18	75
Q13573	Columbia_NCBP3_18	76
Q13769	Columbia_NCBP3_18	95
Q13838;Q13838-2	Columbia_NCBP3_18	88
Q14151;Q14151-2	Columbia_NCBP3_18	73
Q14562	Columbia_NCBP3_18	70
Q15007;Q15007-2	Columbia_NCBP3_18	63
Q15287-3;Q15287-2;Q15287	Columbia_NCBP3_18	74
Q15365;P57723-2;P57723	Columbia_NCBP3_18	75
Q15424;Q15424-4;Q15424-3;Q15424-2	Columbia_NCBP3_18	78
Q16629-3;Q16629-2;Q16629-4;Q16629	Columbia_NCBP3_18	60
Q1KMD3	Columbia_NCBP3_18	81
Q2TAY7;Q2TAY7-2	Columbia_NCBP3_18	78
Q53F19;Q53F19-2	Columbia_NCBP3_18	69
Q5BKZ1;Q5BKZ1-2;Q5BKZ1-3	Columbia_NCBP3_18	68
Q5JVF3-3;Q5JVF3-2;Q5JVF3;Q5JVF3-4	Columbia_NCBP3_18	69
Q5T8P6-3;Q5T8P6-2;Q5T8P6;Q5T8P6-5;Q5T8P6-4;Q5T8P6-6	Columbia_NCBP3_18	70
Q6I9Y2	Columbia_NCBP3_18	83
Q6PJT7-5;Q6PJT7;Q6PJT7-10;Q6PJT7-4;Q6PJT7-8	Columbia_NCBP3_18	89
Q7Z478	Columbia_NCBP3_18	75
Q86U42-2;Q86U42;Q92843-2;A6NDY0-2;A6NDY0;A6NDY0-4	Columbia_NCBP3_18	91
Q86V81	Columbia_NCBP3_18	81
Q86W42;Q86W42-2;Q86W42-3	Columbia_NCBP3_18	84
Q8IX12-2;Q8IX12	Columbia_NCBP3_18	84
Q8NI27;Q8NI27-2	Columbia_NCBP3_18	94
Q8WUA2	Columbia_NCBP3_18	70
Q92499;Q92499-3;Q92499-2	Columbia_NCBP3_18	69
Q92900-2;Q92900	Columbia_NCBP3_18	89
Q96BP3;Q96BP3-2	Columbia_NCBP3_18	65
Q96DI7;Q96DI7-2	Columbia_NCBP3_18	70
Q96FV9;Q96FV9-2	Columbia_NCBP3_18	91
Q96J01-2;Q96J01	Columbia_NCBP3_18	82
Q96PV6;Q96PV6-1;Q96PV6-3	Columbia_NCBP3_18	62
Q96T37-4;Q96T37-2;Q96T37-3;Q96T37	Columbia_NCBP3_18	76
Q99459	Columbia_NCBP3_18	80
Q9BY77;Q9BY77-2	Columbia_NCBP3_18	74
Q9BZJ0-2;Q9BZJ0-3;Q9BZJ0	Columbia_NCBP3_18	77
Q9H307	Columbia_NCBP3_18	95
Q9HCS7	Columbia_NCBP3_18	77
Q9NYF8-2;Q9NYF8;Q9NYF8-3;Q9NYF8-4	Columbia_NCBP3_18	83
Q9NZI8;Q9NZI8-2	Columbia_NCBP3_18	70
Q9P2N5	Columbia_NCBP3_18	73
Q9UKF6	Columbia_NCBP3_18	66
Q9UKM9-2;Q9UKM9	Columbia_NCBP3_18	68
Q9UKV3-5;Q9UKV3;Q9UKV3-3;Q9UKV3-2	Columbia_NCBP3_18	78
Q9UQ35;Q9UQ35-2;Q9UQ35-3	Columbia_NCBP3_18	77
Q9Y2W1	Columbia_NCBP3_18	79
Q9Y3X0	Columbia_NCBP3_18	75
Q9Y3Y2-4;Q9Y3Y2;Q9Y3Y2-3	Columbia_NCBP3_18	83
Q9Y5S9;Q9Y5S9-2	Columbia_NCBP3_18	89
O00425;O00425-2;Q9Y6M1-5;Q9Y6M1-6;Q9Y6M1-3;Q9Y6M1-4;Q9Y6M1-1;Q9Y6M1	Columbia_NCBP3_7	98
O00571-2;O00571;O15523-2;O15523;O15523-3;Q9NQI0-3;Q9NQI0-2;Q9NQI0-4;Q9NQI0	Columbia_NCBP3_7	99
O15042;O15042-2;O15042-3	Columbia_NCBP3_7	97
O43290	Columbia_NCBP3_7	99
O43390;O43390-2;O43390-3;O43390-4	Columbia_NCBP3_7	100
O43395;O43395-3	Columbia_NCBP3_7	98
O43896	Columbia_NCBP3_7	98
O60306	Columbia_NCBP3_7	99
O60506-2;O60506	Columbia_NCBP3_7	99
O75152	Columbia_NCBP3_7	100
O75400;O75400-2;O75400-3	Columbia_NCBP3_7	98
O75494-5;O75494-4;O75494-6;O75494-3;O75494-2;O75494;Q8WXF0	Columbia_NCBP3_7	96
O75643;O75643-2	Columbia_NCBP3_7	100
O94906;O94906-2	Columbia_NCBP3_7	100
P04259	Columbia_NCBP3_7	99
P05141;Q9H0C2	Columbia_NCBP3_7	95
P05783;CON__H-INV:HIT000015463	Columbia_NCBP3_7	100
P07355;P07355-2;A6NMY6	Columbia_NCBP3_7	100
P07910-2;P07910;P07910-4;P07910-3;P0DMR1;O60812;B7ZW38;B2RXH8;Q86SE5;Q86SE5-3	Columbia_NCBP3_7	100
P08238;Q58FF7	Columbia_NCBP3_7	99
P08670;P17661;P41219;P41219-2	Columbia_NCBP3_7	100
P08865	Columbia_NCBP3_7	99
P09661	Columbia_NCBP3_7	99
P0DMV8;P0DMV9;P0DMV8-2	Columbia_NCBP3_7	100
P11142;P11142-2	Columbia_NCBP3_7	100
P11940;P11940-2;Q9H361;Q4VXU2;Q4VXU2-2;Q96DU9-2;Q96DU9	Columbia_NCBP3_7	100
P14866;P14866-2	Columbia_NCBP3_7	100
P16989;P16989-2;P16989-3	Columbia_NCBP3_7	100
P18124	Columbia_NCBP3_7	100
P18583-7;P18583;P18583-5;P18583-9;P18583-2;P18583-10;P18583-3;P18583-4;P18583-6;P18583-8	Columbia_NCBP3_7	99
P19338	Columbia_NCBP3_7	100
P22626;P22626-2	Columbia_NCBP3_7	100
P23396;P23396-2	Columbia_NCBP3_7	100
P26368-2;P26368	Columbia_NCBP3_7	100
P31943	Columbia_NCBP3_7	100
P36578	Columbia_NCBP3_7	99
P38159;P38159-2;Q96E39;P38159-3;O75526;Q8N7X1	Columbia_NCBP3_7	100
P38919	Columbia_NCBP3_7	60
P39019	Columbia_NCBP3_7	99
P40939;P40939-2	Columbia_NCBP3_7	100
P42704;Q9NP80-3;Q9NP80-2;Q9NP80	Columbia_NCBP3_7	98
P43243;P43243-2	Columbia_NCBP3_7	100
P45880;P45880-2;P45880-1	Columbia_NCBP3_7	100
P49411	Columbia_NCBP3_7	100
P49756;P49756-2;P49756-3;P49756-4	Columbia_NCBP3_7	100
P51991;P51991-2	Columbia_NCBP3_7	99
P52272-2;P52272	Columbia_NCBP3_7	100
P52597	Columbia_NCBP3_7	99
P55084;P55084-2	Columbia_NCBP3_7	98
P55265;P55265-4;P55265-5;P55265-3;P55265-2	Columbia_NCBP3_7	100
P61247	Columbia_NCBP3_7	100
P61326;P61326-2	Columbia_NCBP3_7	100
P61978-3;P61978;P61978-2	Columbia_NCBP3_7	100
P62249	Columbia_NCBP3_7	100
P62269	Columbia_NCBP3_7	100
P62316;P62316-2	Columbia_NCBP3_7	99
P62701;Q8TD47;P22090	Columbia_NCBP3_7	99
P62805	Columbia_NCBP3_7	100
P62913;P62913-2	Columbia_NCBP3_7	100
P62995;P62995-3;P62995-2	Columbia_NCBP3_7	97
P63261	Columbia_NCBP3_7	100
P67809;Q9Y2T7	Columbia_NCBP3_7	100
P68371;P04350	Columbia_NCBP3_7	100
P78527;P78527-2	Columbia_NCBP3_7	98
P82979	Columbia_NCBP3_7	100
P84090	Columbia_NCBP3_7	100
Q01082;Q01082-2;P11277-3;P11277;P11277-2	Columbia_NCBP3_7	100
Q07065;Q96K21-4;Q96K21-3;Q96K21-2;Q96K21	Columbia_NCBP3_7	99
Q07955;Q07955-3;Q07955-2	Columbia_NCBP3_7	100
Q09161	Columbia_NCBP3_7	100
Q10570	Columbia_NCBP3_7	96
Q12874	Columbia_NCBP3_7	100
Q12905	Columbia_NCBP3_7	99
Q12906-7;Q12906;Q12906-4;Q12906-6;Q12906-5;Q12906-2;Q12906-3	Columbia_NCBP3_7	100
Q13242	Columbia_NCBP3_7	97
Q13247;Q13247-3;Q13247-2	Columbia_NCBP3_7	99
Q13310-3;Q13310-2;Q13310;P0CB38	Columbia_NCBP3_7	100
Q13435	Columbia_NCBP3_7	100
Q13573	Columbia_NCBP3_7	100
Q13769	Columbia_NCBP3_7	100
Q13838;Q13838-2	Columbia_NCBP3_7	100
Q14103-4;Q14103-3;Q14103-2;Q14103	Columbia_NCBP3_7	99
Q14444-2;Q14444	Columbia_NCBP3_7	99
Q14498-3;Q14498-2;Q14498;Q86U06-4;Q86U06-5;Q86U06-2;Q86U06;Q86U06-3	Columbia_NCBP3_7	100
Q14974;Q14974-2	Columbia_NCBP3_7	100
Q15029-2;Q15029;Q15029-3	Columbia_NCBP3_7	100
Q15149;Q15149-7;Q15149-9;Q15149-5;Q15149-6	Columbia_NCBP3_7	100
Q15233;Q15233-2	Columbia_NCBP3_7	98
Q15366-6;Q15366-3;Q15366;Q15366-2;Q15366-4;Q15366-5;Q15366-7;Q15366-8;P57721-2;P57721-3;P57721-5;P57721-4;P57721	Columbia_NCBP3_7	99
Q15393;Q15393-3;Q15393-2	Columbia_NCBP3_7	100
Q15717;Q15717-2;P26378-4;P26378-2;P26378-5;P26378;P26378-3	Columbia_NCBP3_7	100
Q16629-3;Q16629-2;Q16629-4;Q16629	Columbia_NCBP3_7	100
Q16630-3;Q16630;Q16630-2	Columbia_NCBP3_7	100
Q1KMD3	Columbia_NCBP3_7	97
Q2TAY7;Q2TAY7-2	Columbia_NCBP3_7	98
Q53F19;Q53F19-2	Columbia_NCBP3_7	98
Q5JVF3-3;Q5JVF3-2;Q5JVF3;Q5JVF3-4	Columbia_NCBP3_7	98
Q6I9Y2	Columbia_NCBP3_7	100
Q6P2Q9	Columbia_NCBP3_7	100
Q6PJT7-5;Q6PJT7;Q6PJT7-10;Q6PJT7-4;Q6PJT7-8	Columbia_NCBP3_7	100
Q6PKG0;Q6PKG0-3;Q659C4-7;Q659C4-6;Q659C4-5;Q659C4-2;Q659C4;Q659C4-9	Columbia_NCBP3_7	100
Q7L2E3-3;Q7L2E3;Q7L2E3-2	Columbia_NCBP3_7	100
Q7Z478	Columbia_NCBP3_7	98
Q86U42-2;Q86U42;Q92843-2;A6NDY0-2;A6NDY0;A6NDY0-4	Columbia_NCBP3_7	100
Q86UP2;Q86UP2-2;Q86UP2-4;Q86UP2-3	Columbia_NCBP3_7	98
Q86V81	Columbia_NCBP3_7	100
Q86W42;Q86W42-2;Q86W42-3	Columbia_NCBP3_7	100
Q8IWX8	Columbia_NCBP3_7	99
Q8NI27;Q8NI27-2	Columbia_NCBP3_7	100
Q92841;Q92841-1;Q92841-3;Q92841-2	Columbia_NCBP3_7	99
Q92900-2;Q92900	Columbia_NCBP3_7	100
Q92945	Columbia_NCBP3_7	99
Q96AG4	Columbia_NCBP3_7	89
Q96DI7;Q96DI7-2	Columbia_NCBP3_7	97
Q96FV9;Q96FV9-2	Columbia_NCBP3_7	100
Q96HS1;Q96HS1-2	Columbia_NCBP3_7	99
Q96J01-2;Q96J01	Columbia_NCBP3_7	99
Q96KK5;Q99878;Q9BTM1;P0C0S8;Q93077;P20671;Q9BTM1-2;Q7L7L0;Q6FI13;P04908;Q16777;Q8IUE6;Q96QV6;P16104;REV__Q8NB25-3;REV__Q8NB25-4;REV__Q8NB25-2;REV__Q8NB25	Columbia_NCBP3_7	100
Q96KR1	Columbia_NCBP3_7	98
Q96PV6;Q96PV6-1;Q96PV6-3	Columbia_NCBP3_7	100
Q96T37-4;Q96T37-2;Q96T37-3;Q96T37	Columbia_NCBP3_7	99
Q99459	Columbia_NCBP3_7	99
Q99729-3;Q99729-2;Q99729-4;Q99729	Columbia_NCBP3_7	99
Q9BUQ8	Columbia_NCBP3_7	100
Q9BXP5-4;Q9BXP5-2;Q9BXP5-3;Q9BXP5;Q9BXP5-5	Columbia_NCBP3_7	100
Q9BY77;Q9BY77-2	Columbia_NCBP3_7	99
Q9BZJ0-2;Q9BZJ0-3;Q9BZJ0	Columbia_NCBP3_7	99
Q9H307	Columbia_NCBP3_7	99
Q9HCE1;Q9HCE1-2	Columbia_NCBP3_7	100
Q9HCS7	Columbia_NCBP3_7	99
Q9NR30;Q9NR30-2	Columbia_NCBP3_7	100
Q9NWB6;Q9NWB6-2;Q9NWB6-3	Columbia_NCBP3_7	100
Q9NYF8-2;Q9NYF8;Q9NYF8-3;Q9NYF8-4	Columbia_NCBP3_7	100
Q9NZB2;Q9NZB2-6;Q9NZB2-4;Q9NZB2-5;Q9NZB2-2;Q5T035	Columbia_NCBP3_7	98
Q9NZI8;Q9NZI8-2	Columbia_NCBP3_7	98
Q9P2N5	Columbia_NCBP3_7	100
Q9UHX1-6;Q9UHX1-5	Columbia_NCBP3_7	90
Q9UJV9	Columbia_NCBP3_7	100
Q9UKM9-2;Q9UKM9	Columbia_NCBP3_7	98
Q9UKV3-5;Q9UKV3;Q9UKV3-3;Q9UKV3-2	Columbia_NCBP3_7	100
Q9UMS4	Columbia_NCBP3_7	99
Q9UQ35;Q9UQ35-2;Q9UQ35-3	Columbia_NCBP3_7	100
Q9Y2W1	Columbia_NCBP3_7	100
Q9Y383;Q96HJ9-2;Q9Y383-3;Q9Y383-2	Columbia_NCBP3_7	100
Q9Y3I0	Columbia_NCBP3_7	100
Q9Y3X0	Columbia_NCBP3_7	100
Q9Y3Y2-4;Q9Y3Y2;Q9Y3Y2-3	Columbia_NCBP3_7	99
Q9Y5S9;Q9Y5S9-2	Columbia_NCBP3_7	100
O00505	Rockefeller_NCBP1_10	100
O00629	Rockefeller_NCBP1_10	98
O43143	Rockefeller_NCBP1_10	98
O43251-8;O43251-6;O43251-5;O43251;O43251-10;O43251-2;O43251-4;Q9NWB1-3;O43251-9;Q9NWB1-4;Q9NWB1-5;Q9NWB1;O43251-7;Q9NWB1-2;O43251-3;A6NFN3-2;A6NFN3	Rockefeller_NCBP1_10	95
O75400;O75400-2;O75400-3	Rockefeller_NCBP1_10	100
O75533;O75533-2	Rockefeller_NCBP1_10	100
O75643;O75643-2	Rockefeller_NCBP1_10	100
P02545;P02545-3;P02545-6;P02545-5;P02545-4;REV__Q5VX52	Rockefeller_NCBP1_10	96
P07910-2;P07910;P07910-4;P07910-3;P0DMR1;O60812;B7ZW38;B2RXH8;Q86SE5;Q86SE5-3	Rockefeller_NCBP1_10	100
P08195-3;P08195;P08195-4;P08195-2	Rockefeller_NCBP1_10	100
P08238;Q58FF7	Rockefeller_NCBP1_10	100
P08579	Rockefeller_NCBP1_10	94
P08865	Rockefeller_NCBP1_10	92
P09651-3;P09651-2;P09651;Q32P51	Rockefeller_NCBP1_10	98
P0DMV8;P0DMV9;P0DMV8-2	Rockefeller_NCBP1_10	100
P11021	Rockefeller_NCBP1_10	99
P11940;P11940-2;Q9H361;Q4VXU2;Q4VXU2-2;Q96DU9-2;Q96DU9	Rockefeller_NCBP1_10	100
P14866;P14866-2	Rockefeller_NCBP1_10	96
P17844;P17844-2	Rockefeller_NCBP1_10	95
P18124	Rockefeller_NCBP1_10	91
P19338	Rockefeller_NCBP1_10	95
P22626;P22626-2	Rockefeller_NCBP1_10	100
P23396;P23396-2	Rockefeller_NCBP1_10	99
P25705;P25705-2;P25705-3	Rockefeller_NCBP1_10	97
P27824-2;P27824;P27824-3	Rockefeller_NCBP1_10	100
P30050;P30050-2	Rockefeller_NCBP1_10	96
P31943	Rockefeller_NCBP1_10	100
P38159;P38159-2;Q96E39;P38159-3;O75526;Q8N7X1	Rockefeller_NCBP1_10	98
P38919	Rockefeller_NCBP1_10	100
P39019	Rockefeller_NCBP1_10	98
P42285	Rockefeller_NCBP1_10	98
P42704;Q9NP80-3;Q9NP80-2;Q9NP80	Rockefeller_NCBP1_10	95
